id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Subscribed
1059,33,management,married,tertiary,no,334,no,no,cellular,25,nov,87,1,-1,0,unknown,0
1060,30,management,single,secondary,no,46,no,no,cellular,20,aug,93,4,-1,0,unknown,0
1061,60,retired,divorced,secondary,no,-639,yes,no,cellular,15,may,585,1,-1,0,unknown,1
1062,40,blue-collar,married,secondary,no,275,yes,no,cellular,1,feb,196,2,-1,0,unknown,0
1063,27,management,single,tertiary,no,1,yes,no,cellular,30,jul,764,4,-1,0,unknown,1
1064,61,retired,married,secondary,no,89,no,no,cellular,28,oct,154,1,181,2,failure,0
1065,46,technician,divorced,secondary,no,-824,yes,no,cellular,7,aug,429,3,-1,0,unknown,1
1066,49,blue-collar,married,primary,no,-232,no,yes,cellular,11,aug,106,2,-1,0,unknown,0
1067,40,admin.,single,secondary,no,664,no,no,cellular,21,jul,1342,2,-1,0,unknown,1
1068,43,blue-collar,married,unknown,no,-633,yes,yes,unknown,13,may,277,1,-1,0,unknown,0
1069,39,blue-collar,divorced,secondary,no,2601,no,no,unknown,9,jun,70,1,-1,0,unknown,0
1070,40,blue-collar,married,primary,no,117,yes,no,unknown,19,jun,172,3,-1,0,unknown,0
1071,43,admin.,married,tertiary,no,189,yes,no,cellular,14,jul,1062,4,-1,0,unknown,1
1072,38,services,divorced,secondary,no,710,yes,no,cellular,18,may,1880,2,-1,0,unknown,0
1073,56,blue-collar,married,primary,no,246,yes,no,unknown,23,may,438,1,-1,0,unknown,0
1074,34,entrepreneur,married,primary,no,165,yes,no,cellular,17,apr,182,2,329,1,failure,0
1075,34,technician,married,secondary,no,1569,no,no,cellular,11,aug,149,2,-1,0,unknown,0
1076,32,services,single,secondary,no,5806,yes,no,cellular,20,nov,1503,2,-1,0,unknown,1
1077,33,self-employed,single,secondary,no,4,yes,no,cellular,19,nov,136,2,180,2,failure,0
1078,56,blue-collar,married,primary,no,3643,no,no,unknown,20,jun,11,3,-1,0,unknown,0
1079,65,retired,married,secondary,no,23421,no,no,cellular,2,feb,432,1,-1,0,unknown,0
1080,75,retired,married,tertiary,no,4912,no,no,telephone,20,oct,238,2,183,5,failure,0
1081,32,self-employed,single,tertiary,no,368,no,no,cellular,21,nov,149,2,-1,0,unknown,0
1082,54,blue-collar,married,secondary,no,887,yes,no,unknown,19,may,133,1,-1,0,unknown,0
1083,34,management,single,tertiary,no,417,yes,no,cellular,5,aug,270,1,174,15,failure,1
1084,23,management,single,unknown,no,375,yes,no,unknown,9,may,194,3,-1,0,unknown,0
1085,47,unknown,single,unknown,no,1819,no,no,cellular,1,jun,180,1,-1,0,unknown,0
1086,43,management,divorced,tertiary,no,-166,yes,yes,cellular,26,aug,176,2,-1,0,unknown,0
1087,31,blue-collar,single,unknown,no,6281,no,no,cellular,22,oct,257,1,128,3,other,1
1088,39,blue-collar,married,secondary,no,281,no,no,unknown,20,jun,78,7,-1,0,unknown,0
1089,42,technician,married,secondary,no,994,yes,no,cellular,12,nov,227,3,93,6,success,1
1090,30,admin.,single,secondary,no,265,yes,no,cellular,25,may,681,1,181,2,success,1
1091,52,management,married,secondary,no,478,yes,no,unknown,14,may,110,2,-1,0,unknown,0
1092,28,unemployed,single,primary,no,1374,no,no,cellular,23,apr,203,4,-1,0,unknown,1
1093,35,management,single,tertiary,no,1599,yes,yes,cellular,13,apr,407,1,-1,0,unknown,1
1094,35,blue-collar,single,secondary,no,88,yes,no,unknown,16,may,344,4,-1,0,unknown,0
1095,40,technician,married,tertiary,no,1034,yes,no,cellular,18,may,368,2,-1,0,unknown,0
1096,36,blue-collar,divorced,secondary,no,2843,no,no,cellular,14,aug,186,1,-1,0,unknown,1
1097,36,management,married,tertiary,no,287,yes,yes,cellular,15,jul,119,5,-1,0,unknown,0
1098,41,blue-collar,married,primary,no,246,no,no,unknown,19,jun,683,3,-1,0,unknown,1
1099,34,admin.,married,secondary,no,96,no,no,cellular,29,aug,109,2,-1,0,unknown,0
1100,26,blue-collar,single,secondary,no,311,yes,no,cellular,7,may,798,2,-1,0,unknown,1
1101,35,student,single,unknown,no,0,no,no,telephone,28,jan,122,3,-1,0,unknown,0
1102,51,blue-collar,married,secondary,no,22,yes,yes,unknown,9,may,178,1,-1,0,unknown,0
1103,33,blue-collar,married,secondary,no,0,yes,yes,cellular,6,may,155,5,-1,0,unknown,0
1104,34,admin.,married,secondary,no,395,yes,no,cellular,14,apr,258,8,-1,0,unknown,0
1105,45,self-employed,single,primary,no,112,no,no,unknown,20,jun,298,4,-1,0,unknown,0
1106,60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown,1
1107,52,blue-collar,divorced,primary,no,2800,no,no,unknown,19,jun,149,1,-1,0,unknown,0
1108,46,services,divorced,secondary,no,4329,no,no,cellular,21,nov,534,2,-1,0,unknown,1
1109,45,blue-collar,married,primary,no,678,no,no,cellular,5,aug,104,3,-1,0,unknown,0
1110,50,blue-collar,married,primary,no,362,yes,no,unknown,8,may,201,2,-1,0,unknown,0
1111,37,blue-collar,single,secondary,no,3344,yes,no,unknown,26,may,85,5,-1,0,unknown,0
1112,51,management,single,tertiary,no,824,no,no,unknown,19,may,102,2,-1,0,unknown,0
1113,35,blue-collar,married,primary,no,2490,yes,no,cellular,18,may,170,1,180,3,failure,0
1114,65,unknown,married,unknown,no,4717,no,no,telephone,6,aug,256,1,-1,0,unknown,1
1115,60,technician,married,secondary,no,259,no,no,cellular,6,jul,396,1,386,2,success,1
1116,33,management,married,tertiary,no,0,yes,no,cellular,9,mar,305,1,326,1,success,1
1117,33,blue-collar,single,tertiary,no,457,yes,no,cellular,23,jul,107,4,-1,0,unknown,0
1118,33,self-employed,married,tertiary,no,1278,no,no,cellular,6,oct,649,1,-1,0,unknown,1
1119,31,blue-collar,married,secondary,no,1361,yes,no,unknown,20,jun,176,4,-1,0,unknown,0
1120,55,management,divorced,secondary,no,204,yes,no,cellular,11,jul,1973,2,-1,0,unknown,1
1121,30,services,married,secondary,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,0
1122,39,technician,married,tertiary,no,1889,no,no,cellular,29,jan,108,2,-1,0,unknown,0
1123,38,blue-collar,married,primary,no,8637,yes,no,unknown,11,jun,119,1,-1,0,unknown,0
1124,35,services,single,tertiary,no,0,no,no,cellular,3,jul,704,1,-1,0,unknown,1
1125,37,management,married,tertiary,no,1330,yes,no,cellular,29,jan,41,2,261,1,failure,0
1126,51,admin.,married,secondary,no,2662,no,no,telephone,28,jan,148,2,-1,0,unknown,0
1127,39,blue-collar,married,primary,no,830,yes,no,unknown,8,may,246,2,-1,0,unknown,0
1128,28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,1
1129,35,blue-collar,married,secondary,no,913,yes,no,cellular,17,apr,738,2,-1,0,unknown,0
1130,46,management,single,tertiary,no,6651,no,no,cellular,22,may,114,1,60,1,failure,0
1131,60,retired,married,secondary,no,975,no,no,cellular,16,sep,303,1,792,1,failure,1
1132,35,admin.,divorced,secondary,no,534,no,no,cellular,15,may,669,1,312,3,failure,1
1133,59,retired,married,secondary,no,2291,no,yes,cellular,19,nov,190,1,128,3,failure,0
1134,39,blue-collar,married,secondary,no,1165,yes,no,cellular,20,apr,354,1,-1,0,unknown,0
1135,26,technician,single,secondary,no,218,yes,no,unknown,27,may,436,1,-1,0,unknown,0
1136,28,management,single,secondary,no,171,no,no,cellular,10,mar,93,1,-1,0,unknown,1
1137,33,technician,married,secondary,no,348,yes,no,cellular,7,may,263,2,294,1,success,0
1138,30,blue-collar,married,secondary,no,378,yes,no,cellular,14,may,566,2,-1,0,unknown,1
1139,46,technician,married,secondary,no,0,no,no,telephone,20,apr,173,2,-1,0,unknown,0
1140,31,blue-collar,single,primary,no,985,yes,no,unknown,12,may,178,2,-1,0,unknown,0
1141,30,management,single,tertiary,no,4,yes,no,cellular,17,jul,284,1,-1,0,unknown,0
1142,50,blue-collar,married,secondary,no,-160,yes,no,unknown,28,may,600,2,-1,0,unknown,0
1143,42,unemployed,married,tertiary,no,0,no,no,cellular,8,oct,113,1,-1,0,unknown,0
1144,59,management,single,tertiary,no,266,yes,no,unknown,30,may,147,2,-1,0,unknown,0
1145,43,unemployed,married,secondary,no,511,yes,yes,telephone,5,feb,191,5,190,5,other,0
1146,53,technician,married,primary,no,311,no,no,telephone,28,jan,82,3,-1,0,unknown,0
1147,58,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,1149,2,-1,0,unknown,1
1148,49,retired,married,secondary,no,993,yes,yes,cellular,8,may,199,1,301,2,other,0
1149,23,blue-collar,single,secondary,no,1311,yes,no,unknown,3,jun,100,3,-1,0,unknown,0
1150,39,admin.,divorced,secondary,no,442,yes,no,cellular,2,feb,204,2,257,2,other,0
1151,64,management,married,tertiary,no,5112,no,no,telephone,19,oct,898,7,137,11,other,1
1152,59,services,divorced,primary,no,6290,yes,no,cellular,17,apr,19,4,-1,0,unknown,0
1153,24,blue-collar,single,secondary,no,833,yes,no,cellular,15,may,956,1,-1,0,unknown,1
1154,38,management,married,tertiary,yes,327,yes,yes,cellular,9,jul,556,5,-1,0,unknown,1
1155,34,management,married,tertiary,no,4131,yes,no,unknown,27,may,172,7,-1,0,unknown,0
1156,34,blue-collar,married,secondary,no,640,yes,no,cellular,29,apr,636,2,-1,0,unknown,1
1157,40,technician,married,tertiary,no,162,no,no,cellular,7,aug,256,3,-1,0,unknown,0
1158,50,technician,married,primary,no,883,yes,no,unknown,5,jun,170,1,-1,0,unknown,0
1159,49,admin.,married,secondary,no,1403,no,no,cellular,3,feb,124,2,180,2,failure,0
1160,33,self-employed,married,tertiary,no,627,yes,no,cellular,10,feb,208,2,-1,0,unknown,0
1161,54,self-employed,married,tertiary,no,990,no,no,cellular,3,jun,244,2,-1,0,unknown,1
1162,30,technician,married,tertiary,no,569,no,no,cellular,27,aug,976,12,-1,0,unknown,1
1163,42,management,married,tertiary,no,783,yes,no,cellular,19,nov,77,2,128,3,failure,0
1164,39,blue-collar,married,primary,no,332,yes,no,unknown,8,may,277,3,-1,0,unknown,0
1165,62,management,married,tertiary,no,997,no,no,cellular,22,apr,554,1,304,2,success,1
1166,51,self-employed,divorced,tertiary,no,1357,yes,no,cellular,17,nov,233,3,-1,0,unknown,0
1167,54,management,married,tertiary,no,8295,no,no,cellular,2,oct,849,2,119,1,success,1
1168,25,student,single,secondary,no,154,no,no,cellular,2,sep,382,1,183,3,success,1
1169,37,blue-collar,single,secondary,no,1127,yes,no,cellular,17,apr,72,2,281,1,failure,0
1170,48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,-1,0,unknown,1
1171,40,blue-collar,divorced,primary,no,548,yes,yes,unknown,30,may,324,1,-1,0,unknown,0
1172,34,management,single,tertiary,no,1,no,no,cellular,19,nov,582,1,-1,0,unknown,0
1173,35,management,single,tertiary,no,642,no,no,cellular,8,may,278,1,-1,0,unknown,0
1174,33,management,married,tertiary,no,1323,no,no,cellular,15,sep,109,2,106,1,success,0
1175,53,management,married,tertiary,no,1356,yes,no,cellular,5,aug,397,2,93,2,failure,0
1176,47,admin.,married,unknown,no,989,no,no,unknown,19,jun,116,1,-1,0,unknown,0
1177,32,management,divorced,primary,no,137,yes,no,unknown,20,may,13,12,-1,0,unknown,0
1178,36,technician,married,secondary,no,4613,no,no,cellular,19,nov,207,2,-1,0,unknown,0
1179,34,blue-collar,married,secondary,no,233,yes,no,cellular,18,nov,98,1,-1,0,unknown,0
1180,51,technician,married,tertiary,no,0,no,no,cellular,7,may,662,2,66,2,success,1
1181,38,technician,married,secondary,no,557,yes,no,cellular,16,nov,1556,4,-1,0,unknown,1
1182,49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,1
1183,70,retired,married,primary,no,2346,no,no,cellular,24,aug,190,3,194,2,success,0
1184,32,blue-collar,divorced,secondary,no,-299,yes,no,cellular,8,jul,192,2,-1,0,unknown,0
1185,32,blue-collar,married,secondary,no,10287,yes,no,cellular,27,may,281,4,188,1,failure,1
1186,60,unemployed,married,primary,no,0,no,no,cellular,22,jul,1193,1,412,1,other,1
1187,59,retired,married,primary,no,363,no,no,cellular,30,apr,400,1,-1,0,unknown,1
1188,26,services,single,secondary,no,136,no,no,cellular,20,apr,120,1,-1,0,unknown,1
1189,49,admin.,married,secondary,no,0,no,no,cellular,7,aug,301,2,-1,0,unknown,0
1190,36,management,married,tertiary,no,3537,yes,no,cellular,21,nov,115,2,-1,0,unknown,0
1191,36,admin.,divorced,secondary,no,592,no,no,cellular,6,jul,413,5,-1,0,unknown,0
1192,40,management,married,tertiary,no,655,yes,no,unknown,26,may,227,1,-1,0,unknown,0
1193,32,technician,single,secondary,no,260,yes,no,unknown,5,sep,13,1,656,7,other,0
1194,27,technician,single,secondary,no,643,no,no,cellular,13,jul,317,1,-1,0,unknown,1
1195,45,blue-collar,married,secondary,no,13156,no,no,cellular,21,aug,62,4,-1,0,unknown,0
1196,38,blue-collar,divorced,secondary,no,0,yes,no,cellular,21,oct,576,1,183,4,success,1
1197,47,admin.,married,secondary,no,663,yes,yes,cellular,12,may,409,1,274,6,other,1
1198,35,management,divorced,tertiary,no,26,no,no,cellular,16,apr,78,2,-1,0,unknown,1
1199,57,housemaid,divorced,primary,no,492,no,no,telephone,21,nov,181,2,-1,0,unknown,0
1200,35,management,married,tertiary,no,1582,no,no,telephone,21,jul,37,1,-1,0,unknown,0
1201,61,self-employed,married,tertiary,no,10861,no,no,cellular,25,oct,225,1,91,5,success,1
1202,23,management,single,tertiary,no,1807,no,no,cellular,27,jul,606,1,-1,0,unknown,1
1203,41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown,1
1204,46,blue-collar,divorced,primary,no,274,yes,no,unknown,13,may,20,1,-1,0,unknown,0
1205,33,blue-collar,single,secondary,no,1925,yes,no,cellular,2,mar,76,2,-1,0,unknown,0
1206,46,management,single,unknown,no,1527,yes,no,unknown,6,may,269,1,-1,0,unknown,0
1207,45,admin.,married,secondary,no,231,yes,no,unknown,18,jun,151,3,-1,0,unknown,0
1208,35,housemaid,married,primary,no,113,yes,no,cellular,17,jul,923,2,-1,0,unknown,1
1209,49,management,married,tertiary,no,1,no,no,telephone,13,aug,640,2,101,4,success,1
1210,37,blue-collar,married,primary,no,2120,yes,no,cellular,15,may,655,3,175,4,failure,1
1211,30,services,single,primary,no,79,yes,no,cellular,15,may,317,1,-1,0,unknown,0
1212,51,management,married,tertiary,no,257,yes,no,cellular,8,may,129,2,-1,0,unknown,0
1213,34,admin.,married,secondary,no,1689,no,no,unknown,20,may,423,1,-1,0,unknown,0
1214,37,management,married,tertiary,no,238,no,no,cellular,3,feb,185,1,92,1,success,1
1215,27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,2,-1,0,unknown,1
1216,49,management,married,tertiary,no,1,no,no,telephone,4,may,1076,3,175,1,success,1
1217,34,technician,married,secondary,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,0
1218,56,self-employed,divorced,secondary,no,0,no,no,cellular,18,nov,348,1,-1,0,unknown,0
1219,80,retired,divorced,primary,no,235,no,no,cellular,31,mar,577,1,223,3,other,1
1220,42,admin.,divorced,secondary,no,0,yes,yes,unknown,18,jun,185,4,-1,0,unknown,0
1221,44,management,divorced,tertiary,no,1467,no,no,unknown,17,jun,49,1,-1,0,unknown,0
1222,40,self-employed,married,primary,no,42,no,no,cellular,11,jul,264,3,-1,0,unknown,0
1223,35,housemaid,single,primary,no,745,no,no,telephone,5,jun,522,3,-1,0,unknown,1
1224,43,services,married,primary,no,2557,yes,no,telephone,15,oct,166,3,183,5,success,1
1225,47,services,married,secondary,no,405,no,yes,cellular,8,aug,994,2,-1,0,unknown,1
1226,53,technician,married,secondary,no,6831,no,no,cellular,13,may,1130,2,-1,0,unknown,1
1227,36,management,married,tertiary,no,23,no,no,cellular,26,aug,133,11,-1,0,unknown,0
1228,33,management,married,tertiary,no,812,no,no,cellular,22,dec,396,1,-1,0,unknown,0
1229,25,unemployed,married,secondary,no,285,yes,no,unknown,29,may,859,2,-1,0,unknown,0
1230,37,services,single,secondary,no,342,yes,no,cellular,4,feb,127,1,273,1,failure,0
1231,61,self-employed,married,tertiary,no,10861,no,no,cellular,26,jul,336,2,259,3,success,1
1232,59,retired,married,secondary,no,3414,no,no,telephone,30,jul,117,6,-1,0,unknown,0
1233,58,management,divorced,tertiary,no,26831,no,no,cellular,11,feb,56,18,-1,0,unknown,0
1234,35,management,single,tertiary,no,-324,no,yes,cellular,21,jul,985,11,-1,0,unknown,1
1235,54,management,married,tertiary,no,7249,yes,yes,cellular,4,feb,102,2,77,1,failure,0
1236,34,technician,married,tertiary,no,23076,no,no,cellular,26,may,243,2,35,6,other,1
1237,38,management,married,tertiary,no,630,no,no,cellular,2,sep,362,1,388,3,other,1
1238,29,blue-collar,married,secondary,no,59,yes,yes,cellular,14,may,100,3,356,2,failure,0
1239,36,management,married,tertiary,no,532,yes,no,cellular,14,may,603,1,-1,0,unknown,0
1240,45,technician,married,secondary,no,406,yes,no,cellular,3,jun,240,1,307,10,other,0
1241,55,technician,married,tertiary,no,1320,no,no,cellular,28,apr,387,2,-1,0,unknown,1
1242,37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,289,2,174,4,other,1
1243,56,retired,married,primary,no,334,no,no,cellular,6,aug,128,2,-1,0,unknown,0
1244,43,admin.,married,secondary,no,3215,yes,no,cellular,21,jul,228,3,-1,0,unknown,0
1245,60,retired,married,secondary,no,1420,yes,yes,unknown,6,jun,39,4,-1,0,unknown,0
1246,35,technician,single,secondary,no,1693,yes,no,cellular,10,feb,515,1,-1,0,unknown,1
1247,33,admin.,married,secondary,no,0,no,no,unknown,19,may,326,2,-1,0,unknown,0
1248,25,management,married,tertiary,no,3,yes,yes,cellular,21,jul,690,3,-1,0,unknown,0
1249,42,blue-collar,married,secondary,no,375,yes,no,unknown,6,jun,99,5,-1,0,unknown,0
1250,43,management,divorced,tertiary,no,2367,no,no,cellular,22,sep,83,1,113,3,success,1
1251,36,technician,married,primary,no,0,no,no,unknown,4,jul,584,1,-1,0,unknown,1
1252,46,student,single,unknown,no,1527,no,no,cellular,8,sep,358,3,184,1,success,1
1253,45,management,married,tertiary,no,4877,yes,no,cellular,8,aug,172,2,-1,0,unknown,0
1254,38,technician,divorced,secondary,no,1221,yes,yes,cellular,18,aug,73,7,-1,0,unknown,0
1255,39,services,married,secondary,no,257,yes,no,unknown,12,jun,171,1,-1,0,unknown,0
1256,51,blue-collar,divorced,primary,no,5,no,no,cellular,29,jul,600,2,-1,0,unknown,1
1257,59,housemaid,married,primary,no,1100,no,no,cellular,18,aug,147,10,-1,0,unknown,0
1258,42,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,0
1259,55,admin.,married,unknown,no,98,no,yes,cellular,28,jan,214,1,-1,0,unknown,0
1260,51,housemaid,married,secondary,yes,-1013,yes,no,unknown,26,may,664,1,-1,0,unknown,0
1261,30,technician,single,secondary,no,1625,yes,no,cellular,25,jul,90,3,-1,0,unknown,0
1262,39,entrepreneur,married,tertiary,yes,-172,yes,no,cellular,15,may,562,2,-1,0,unknown,1
1263,28,blue-collar,single,primary,no,553,yes,no,cellular,7,may,225,3,321,3,failure,0
1264,60,retired,married,secondary,no,143,no,no,telephone,30,jan,345,1,-1,0,unknown,0
1265,29,management,single,tertiary,no,765,no,no,cellular,16,nov,238,1,-1,0,unknown,1
1266,56,management,married,secondary,no,0,no,no,cellular,27,oct,298,1,111,8,other,1
1267,73,retired,married,primary,no,796,no,no,cellular,23,oct,427,1,182,2,failure,1
1268,34,blue-collar,single,tertiary,no,97,no,no,cellular,14,may,67,3,-1,0,unknown,0
1269,42,technician,single,tertiary,no,-411,yes,no,cellular,12,may,78,5,292,3,failure,0
1270,63,retired,married,secondary,no,1486,no,no,cellular,14,may,698,5,316,3,other,0
1271,47,blue-collar,married,secondary,no,2173,yes,no,cellular,30,apr,189,3,344,5,failure,0
1272,34,management,married,tertiary,no,589,no,no,cellular,1,sep,300,1,44,3,other,1
1273,32,technician,married,tertiary,no,415,no,no,unknown,23,may,76,2,-1,0,unknown,0
1274,43,blue-collar,married,secondary,no,3311,yes,no,telephone,20,nov,105,2,184,3,other,0
1275,48,services,single,secondary,no,3778,yes,no,unknown,3,jun,46,6,-1,0,unknown,0
1276,32,management,married,tertiary,no,376,yes,no,cellular,23,mar,248,4,-1,0,unknown,1
1277,30,admin.,married,secondary,no,2931,yes,no,unknown,29,may,199,3,-1,0,unknown,0
1278,39,services,single,secondary,no,600,no,no,cellular,7,apr,277,1,-1,0,unknown,0
1279,35,blue-collar,married,secondary,no,1454,yes,no,cellular,12,aug,323,1,182,4,success,1
1280,56,management,married,tertiary,no,1483,no,no,cellular,6,aug,46,4,-1,0,unknown,0
1281,22,blue-collar,single,secondary,no,-51,yes,no,cellular,15,may,859,1,-1,0,unknown,1
1282,31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,-1,0,unknown,1
1283,44,management,single,tertiary,no,709,yes,no,cellular,19,nov,54,1,-1,0,unknown,0
1284,29,admin.,single,secondary,no,-309,yes,yes,unknown,4,jun,215,1,-1,0,unknown,0
1285,46,blue-collar,married,secondary,no,942,no,no,cellular,18,nov,240,3,119,2,failure,0
1286,56,technician,divorced,secondary,no,179,no,no,cellular,18,jul,536,1,-1,0,unknown,1
1287,47,management,single,tertiary,no,6651,no,no,cellular,8,jul,229,1,412,2,failure,1
1288,40,management,married,tertiary,no,1734,yes,no,unknown,2,jun,169,1,-1,0,unknown,0
1289,37,unknown,single,tertiary,no,0,no,no,cellular,8,jun,257,2,97,1,success,1
1290,32,blue-collar,married,primary,no,2114,yes,no,telephone,17,apr,40,1,-1,0,unknown,0
1291,60,retired,divorced,tertiary,no,979,yes,no,cellular,15,jul,346,1,181,4,success,1
1292,34,management,single,tertiary,no,-292,yes,no,cellular,11,aug,111,2,-1,0,unknown,0
1293,38,admin.,divorced,secondary,no,19,yes,no,cellular,5,feb,1130,3,251,2,success,1
1294,54,housemaid,married,secondary,no,962,yes,no,cellular,29,oct,288,3,-1,0,unknown,1
1295,49,unemployed,married,primary,no,518,no,no,cellular,29,jan,1917,2,-1,0,unknown,1
1296,34,management,married,tertiary,no,0,yes,no,cellular,3,feb,251,1,-1,0,unknown,1
1297,55,self-employed,married,secondary,no,39,no,no,unknown,17,jun,20,1,-1,0,unknown,0
1298,35,services,married,secondary,no,871,yes,no,unknown,1,jul,108,1,-1,0,unknown,0
1299,54,retired,married,secondary,no,3671,no,no,unknown,11,jun,67,3,-1,0,unknown,0
1300,47,blue-collar,married,primary,no,556,yes,no,cellular,4,feb,147,2,264,4,other,0
1301,53,self-employed,married,secondary,no,468,yes,no,unknown,8,may,89,5,-1,0,unknown,0
1302,36,management,married,tertiary,no,322,yes,no,cellular,22,jul,485,1,-1,0,unknown,0
1303,43,blue-collar,divorced,primary,no,49,yes,no,unknown,9,may,100,1,-1,0,unknown,0
1304,51,management,married,tertiary,no,248,yes,yes,cellular,17,nov,139,2,126,3,failure,0
1305,46,entrepreneur,married,primary,no,1757,yes,no,unknown,30,may,396,3,-1,0,unknown,0
1306,30,management,single,tertiary,no,364,no,no,cellular,30,apr,306,2,-1,0,unknown,1
1307,49,blue-collar,divorced,primary,no,24,yes,no,cellular,11,may,701,1,362,1,success,1
1308,70,retired,married,primary,no,2795,no,no,cellular,8,jul,480,1,181,2,success,1
1309,41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,1,-1,0,unknown,1
1310,60,technician,married,secondary,no,0,no,no,cellular,25,may,641,4,-1,0,unknown,1
1311,26,technician,single,secondary,no,941,no,yes,cellular,25,jul,784,1,-1,0,unknown,1
1312,58,management,married,tertiary,no,5680,no,no,unknown,18,jun,114,1,-1,0,unknown,0
1313,32,services,married,secondary,no,1464,yes,no,unknown,3,jun,193,1,-1,0,unknown,0
1314,34,self-employed,single,tertiary,no,9962,no,no,cellular,20,aug,474,1,-1,0,unknown,1
1315,31,blue-collar,married,secondary,no,3311,yes,no,unknown,20,may,719,1,-1,0,unknown,1
1316,49,blue-collar,divorced,primary,no,912,no,no,unknown,20,jun,170,2,-1,0,unknown,0
1317,31,admin.,single,secondary,no,160,yes,yes,unknown,20,may,233,2,-1,0,unknown,0
1318,32,technician,single,tertiary,no,388,no,no,cellular,29,apr,250,3,-1,0,unknown,1
1319,44,admin.,married,secondary,no,447,yes,yes,unknown,14,may,106,5,-1,0,unknown,0
1320,30,technician,married,tertiary,no,526,yes,yes,unknown,26,jun,677,3,-1,0,unknown,1
1321,45,management,single,tertiary,no,4831,no,no,cellular,29,jan,479,11,-1,0,unknown,1
1322,49,management,married,tertiary,no,1,yes,no,cellular,4,may,7,4,-1,0,unknown,0
1323,80,retired,married,primary,no,997,no,no,cellular,28,jan,151,1,91,3,success,1
1324,27,technician,single,secondary,no,261,yes,no,cellular,29,jan,236,2,247,2,failure,0
1325,41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,2,-1,0,unknown,1
1326,53,technician,married,secondary,no,195,yes,no,cellular,19,may,472,1,90,6,success,1
1327,27,management,single,tertiary,no,1277,no,no,cellular,30,jan,267,4,-1,0,unknown,0
1328,42,management,married,tertiary,no,877,yes,no,unknown,14,may,238,1,-1,0,unknown,0
1329,29,entrepreneur,married,secondary,no,714,yes,yes,cellular,13,may,482,2,-1,0,unknown,1
1330,27,blue-collar,married,primary,no,106,yes,no,unknown,30,may,150,5,-1,0,unknown,0
1331,47,unemployed,married,secondary,no,432,no,no,cellular,13,aug,334,2,-1,0,unknown,0
1332,36,blue-collar,married,secondary,no,373,yes,no,unknown,13,may,94,1,-1,0,unknown,0
1333,34,blue-collar,married,secondary,yes,-7,yes,no,cellular,22,jul,143,5,-1,0,unknown,0
1334,23,technician,single,secondary,no,4,yes,no,cellular,8,may,763,1,-1,0,unknown,1
1335,35,blue-collar,single,secondary,no,0,yes,no,cellular,16,apr,1174,1,345,4,other,1
1336,31,entrepreneur,single,secondary,no,0,no,no,telephone,13,nov,160,1,-1,0,unknown,1
1337,28,blue-collar,single,secondary,no,7,yes,yes,unknown,9,may,125,3,-1,0,unknown,0
1338,51,admin.,married,tertiary,no,4655,no,no,unknown,20,jun,44,4,-1,0,unknown,0
1339,47,blue-collar,married,secondary,no,1110,yes,no,telephone,23,jul,329,3,-1,0,unknown,0
1340,51,blue-collar,married,secondary,no,1840,yes,no,cellular,18,aug,312,3,-1,0,unknown,0
1341,33,management,single,tertiary,no,275,no,no,cellular,18,nov,348,1,-1,0,unknown,0
1342,53,blue-collar,married,primary,no,787,yes,yes,cellular,7,aug,119,2,-1,0,unknown,0
1343,60,retired,married,primary,no,1720,no,no,telephone,6,aug,115,5,-1,0,unknown,0
1344,45,technician,married,secondary,no,2020,yes,no,cellular,17,nov,62,1,131,1,failure,0
1345,35,technician,single,secondary,no,196,yes,no,cellular,21,nov,318,1,-1,0,unknown,0
1346,32,blue-collar,single,secondary,no,3,yes,no,unknown,23,may,108,3,-1,0,unknown,0
1347,36,services,married,secondary,no,1253,yes,no,cellular,11,may,135,2,-1,0,unknown,0
1348,32,admin.,single,secondary,no,678,yes,no,cellular,4,feb,1579,1,246,4,failure,1
1349,55,management,single,tertiary,no,0,no,no,cellular,30,apr,156,3,-1,0,unknown,0
1350,48,unemployed,married,secondary,no,3287,yes,yes,cellular,20,apr,242,2,307,1,failure,0
1351,50,blue-collar,married,secondary,no,-26,yes,no,cellular,8,may,301,2,-1,0,unknown,0
1352,34,admin.,married,secondary,no,19,yes,yes,cellular,13,oct,98,1,-1,0,unknown,0
